MIDPNT_LON, ALLVEH_AMPEAK, FLOW, LABEL, ALLVEHS_AADT, LOCATION_ID, ALLVEH_PMPEAK, YR,MIDPNT_LAT, GROWTH_RATE, OBJECTID
144.861974,,EAST BOUND,"5,800* (6% 361*) EAST BOUND",5800,3421,,2017,-37.75085793,-0.025,355733
145.3845395,,EAST BOUND,"4,900* (4% 205*) EAST BOUND",4900,3944,,2017,-37.93770816,0.015,355734
144.9842068,,EAST BOUND,"6,900* (2% 157*) EAST BOUND",6900,3538,,2017,-37.85066788,-0.01,355735
145.0513307,,EAST BOUND,"5,900* (6% 363*) EAST BOUND",5900,4469,,2017,-37.85938986,-0.004,355736
145.092789,560,EAST BOUND,"7,000 (3% 203*) EAST BOUND",7000,3541,815,2017,-37.86579016,-0.008,355737
145.0657046,844,EAST BOUND,"13,000 (2% 258*) EAST BOUND",13000,4472,1300,2017,-37.82226098,-0.01,355738
145.1566161,,EAST BOUND,"18,000* (3% 604*) EAST BOUND",18000,4475,,2017,-37.83282901,-0.002,355739
145.2875831,,EAST BOUND,"14,000* (10% 1,400*) EAST BOUND",14000,4143,,2017,-37.82603579,-0.012,355740
145.1421773,,SOUTH BOUND,"14,000* (4% 495*) SOUTH BOUND",14000,4144,,2017,-37.79883967,-0.001,355741
145.1092346,,SOUTH WEST BOUND,"14,000* (5% 709*) SOUTH WEST BOUND",14000,5578,,2017,-38.21392518,-0.005,355742
145.0242012,,SOUTH WEST BOUND,"17,000* (8% 1,300*) SOUTH WEST BOUND",17000,5928,,2017,-38.30582875,0.033,355743
144.9051974,673,EAST BOUND,"8,000 (6% 495*) EAST BOUND",8000,4571,548,2017,-37.77051392,-0.007,355749
144.916717,,EAST BOUND,"8,600* (4% 313*) EAST BOUND",8600,3654,,2017,-37.68482017,0,355750
145.0635256,,SOUTH BOUND,"15,000* (6% 919*) SOUTH BOUND",15000,4789,,2017,-37.7853336,0.009,355751
144.9324806,,EAST BOUND,"10,000* (6% 626*) EAST BOUND",10000,3653,,2017,-37.75678538,-0.001,355752
144.9179232,706,EAST BOUND,"10,000 (4% 370*) EAST BOUND",10000,4788,739,2017,-37.68499662,-0.006,355753
145.0585931,,SOUTH BOUND,"11,000* (4% 402*) SOUTH BOUND",11000,4792,,2017,-37.82139202,-0.003,355754
145.0559539,880,SOUTH BOUND,"11,000 (6% 671*) SOUTH BOUND",11000,4794,822,2017,-37.83530429,-0.02,355755
145.0502424,,SOUTH BOUND,"8,600* (6% 529*) SOUTH BOUND",8600,4598,,2017,-37.86511172,-0.004,355756
144.9640528,3000,SOUTH EAST BOUND,"42,000 (5% 2,300*) SOUTH EAST BOUND",42000,4904,2900,2017,-37.82945094,-0.001,355770
145.015625,1700,EAST BOUND,"31,000 (5% 1,700*) EAST BOUND",31000,4294,2700,2017,-37.86085896,-0.014,355771
145.0476365,,SOUTH EAST BOUND,"32,000* (4% 1,200*) SOUTH EAST BOUND",32000,4911,,2017,-37.87812869,-0.001,355772
145.1223121,,SOUTH EAST BOUND,"22,000* (5% 1,200*) SOUTH EAST BOUND",22000,4915,,2017,-37.91134867,0.006,355773
145.1794775,,SOUTH EAST BOUND,"17,000* (5% 913*) SOUTH EAST BOUND",17000,4299,,2017,-37.95361837,0.001,355774
145.2146067,,SOUTH BOUND,"24,000* (6% 1,400*) SOUTH BOUND",24000,5245,,2017,-37.99011562,0,355775
145.2898099,,EAST BOUND,"11,000* (5% 537*) EAST BOUND",11000,3513,,2017,-37.79970339,0.009,355776
145.127355,,SOUTH BOUND,"8,100* (6% 499*) SOUTH BOUND",8100,3961,,2017,-37.88470523,-0.003,355777
145.1106293,,SOUTH BOUND,"12,000* (12% 1,500*) SOUTH BOUND",12000,4483,,2017,-37.96631979,0.002,355778
145.1908855,796,SOUTH BOUND,"8,900 (6% 551*) SOUTH BOUND",8900,4148,690,2017,-37.80641703,-0.009,355779
145.2225341,,SOUTH EAST BOUND,"5,900* (7% 425*) SOUTH EAST BOUND",5900,4155,,2017,-37.73695707,0.005,355780
145.0838015,,EAST BOUND,"9,200* (6% 580*) EAST BOUND",9200,4653,,2017,-37.99830163,-0.006,355781
145.1142721,,SOUTH BOUND,"6,700* (6% 411*) SOUTH BOUND",6700,4655,,2017,-37.77387606,0.016,355782
145.3127275,,SOUTH BOUND,"9,700* (2% 236*) SOUTH BOUND",9700,5173,,2017,-37.99668864,-0.003,355783
144.8821307,754,SOUTH BOUND,"7,600 (6% 471*) SOUTH BOUND",7600,4859,575,2017,-37.76959644,-0.009,355785
144.8621072,272,SOUTH BOUND,"3,800 (6% 238*) SOUTH BOUND",3800,4861,323,2017,-37.79954523,0.007,355786
145.057319,634,SOUTH BOUND,"7,800 (6% 481*) SOUTH BOUND",7800,4595,474,2017,-37.82811444,-0.013,355788
145.0522584,603,SOUTH BOUND,"8,800 (6% 543*) SOUTH BOUND",8800,4210,780,2017,-37.85465941,-0.006,355789
144.776385,1300,SOUTH BOUND,"20,000 (8% 1,600*) SOUTH BOUND",20000,4601,1300,2017,-37.75997189,0.053,355790
144.8302919,,EAST BOUND,"8,800* (6% 544*) EAST BOUND",8800,5131,,2017,-37.79591615,-0.004,355791
144.906357,,EAST BOUND,"19,000* (6% 1,200*) EAST BOUND",19000,4802,,2017,-37.80054776,0.007,355792
144.9825612,,SOUTH EAST BOUND,"10,000* (6% 626*) SOUTH EAST BOUND",10000,4215,,2017,-37.85627953,-0.001,355794
144.9865266,,EAST BOUND,"12,000* (6% 747*) EAST BOUND",12000,5147,,2017,-37.83832135,0.006,355798
144.6811348,,SOUTH EAST BOUND,"5,300* (4% 237*) SOUTH EAST BOUND",5300,4536,,2017,-37.91185235,0.015,355799
144.7850345,,EAST BOUND,"15,000* (6% 922*) EAST BOUND",15000,4007,,2017,-37.84449201,0.031,355800
145.207202,,NORTH EAST BOUND,"11,000* (6% 692*) NORTH EAST BOUND",11000,4450,,2017,-37.85970096,0.011,355811
145.3155199,,EAST BOUND,"1,100* (4% 39*) EAST BOUND",1100,3934,,2017,-37.85531344,0.002,355812
145.2875869,1400,SOUTH BOUND,"17,000 (9% 1,500*) SOUTH BOUND",17000,3521,1400,2017,-37.82603477,-0.007,355813
145.1461559,,NORTH BOUND,"13,000* (4% 498*) NORTH BOUND",13000,3525,,2017,-37.71900974,0.034,355814
145.4185646,,SOUTH BOUND,"1,400* (5% 67*) SOUTH BOUND",1400,3528,,2017,-37.52613372,-0.003,355815
145.2361765,,WEST BOUND,"1,600* (6% 90*) WEST BOUND",1600,3530,,2017,-37.47637275,0.016,355816
